[INFO] Loading TIFF: /gpfs/marilyn/pi/kuan/shared/FIB_SEM/WORM/raw/worm_bin2.tif
[INFO] TIFF shape: (2410, 1840, 1650)
[INFO] Z=6, Y=4, X=4 chunks total.
[INFO] Saved chunk_z00_y00_x00.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z00_y00_x01.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z00_y00_x02.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z00_y00_x03.tif, shape=(512, 512, 306)
[INFO] Saved chunk_z00_y01_x00.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z00_y01_x01.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z00_y01_x02.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z00_y01_x03.tif, shape=(512, 512, 306)
[INFO] Saved chunk_z00_y02_x00.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z00_y02_x01.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z00_y02_x02.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z00_y02_x03.tif, shape=(512, 512, 306)
[INFO] Saved chunk_z00_y03_x00.tif, shape=(512, 496, 512)
[INFO] Saved chunk_z00_y03_x01.tif, shape=(512, 496, 512)
[INFO] Saved chunk_z00_y03_x02.tif, shape=(512, 496, 512)
[INFO] Saved chunk_z00_y03_x03.tif, shape=(512, 496, 306)
[INFO] Saved chunk_z01_y00_x00.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z01_y00_x01.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z01_y00_x02.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z01_y00_x03.tif, shape=(512, 512, 306)
[INFO] Saved chunk_z01_y01_x00.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z01_y01_x01.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z01_y01_x02.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z01_y01_x03.tif, shape=(512, 512, 306)
[INFO] Saved chunk_z01_y02_x00.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z01_y02_x01.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z01_y02_x02.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z01_y02_x03.tif, shape=(512, 512, 306)
[INFO] Saved chunk_z01_y03_x00.tif, shape=(512, 496, 512)
[INFO] Saved chunk_z01_y03_x01.tif, shape=(512, 496, 512)
[INFO] Saved chunk_z01_y03_x02.tif, shape=(512, 496, 512)
[INFO] Saved chunk_z01_y03_x03.tif, shape=(512, 496, 306)
[INFO] Saved chunk_z02_y00_x00.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z02_y00_x01.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z02_y00_x02.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z02_y00_x03.tif, shape=(512, 512, 306)
[INFO] Saved chunk_z02_y01_x00.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z02_y01_x01.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z02_y01_x02.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z02_y01_x03.tif, shape=(512, 512, 306)
[INFO] Saved chunk_z02_y02_x00.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z02_y02_x01.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z02_y02_x02.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z02_y02_x03.tif, shape=(512, 512, 306)
[INFO] Saved chunk_z02_y03_x00.tif, shape=(512, 496, 512)
[INFO] Saved chunk_z02_y03_x01.tif, shape=(512, 496, 512)
[INFO] Saved chunk_z02_y03_x02.tif, shape=(512, 496, 512)
[INFO] Saved chunk_z02_y03_x03.tif, shape=(512, 496, 306)
[INFO] Saved chunk_z03_y00_x00.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z03_y00_x01.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z03_y00_x02.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z03_y00_x03.tif, shape=(512, 512, 306)
[INFO] Saved chunk_z03_y01_x00.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z03_y01_x01.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z03_y01_x02.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z03_y01_x03.tif, shape=(512, 512, 306)
[INFO] Saved chunk_z03_y02_x00.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z03_y02_x01.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z03_y02_x02.tif, shape=(512, 512, 512)
[INFO] Saved chunk_z03_y02_x03.tif, shape=(512, 512, 306)
[INFO] Saved chunk_z03_y03_x00.tif, shape=(512, 496, 512)
[INFO] Saved chunk_z03_y03_x01.tif, shape=(512, 496, 512)
[INFO] Saved chunk_z03_y03_x02.tif, shape=(512, 496, 512)
[INFO] Saved chunk_z03_y03_x03.tif, shape=(512, 496, 306)
